,Func_ES_groupping  = ESs grouped according to size of impariment in adults as follows,,,,,,,,,,,,,PKU GROUP,,,,,,CONTROL GROUP,,,,ES,,,,,,,PKU group ,,,CONTROLS,,,,,,
,,"Group Large= EF (reasoning, flexibility, sustained attetion and inhibitory control) +visuo-spatial attention speed + visuo-motor control; ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Group Medium: memory and learning; ,,,,,,,,,,,,Performance,,,,,,Performance,,,,,,,,,,,Age,,,Age,,,,,,
,,Group Small: basic language functions (reading and naming speed and accuracy; visuo-spatial attention accuracy; visuo-spatial skills and simple RT visuo-spatial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,Age -group,Func_EF_flex_one,Function,ES_group,Study,Year ,Task,speed/acc (+ all speed tasks even if no matched with accuracy),speed/acc matched,Condition/measure,More information,,, x̅ ,SD,N  obs,Current Phe Mean,SD,, x̅ ,SD,N  obs,,Cohen' s D - not revr,,Coeff, Glass delta,SD glass,Include,, x̅ ,SD,, x̅ ,SD,Age diet starts,Age diet starts,Diet termination,Age diet starts,
1,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Muri et al 2022,2022,Digit/symbol coding,,,Subtest of WAIS-IV,Residuals (USE?),higher=better,*Residuals are the error terms after regressing out the confounding variable AGE,-5.2,9.7,30,741,IQR=358,,4,9.5,54,54,0.41,,-1,-0.96,,0,,NA,,,,,,,,,
2,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,Correct,,,,76.4,10.63,14,491,149,,76.5,14.87,14,,,,-1,-0.01,,0,,10.8,1.25,,10.9,1.3,,,,,
3,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,Errors,,,,31.7,19.29,14,491,149,,17.2,6.64,14,,,,1,-2.13,,0,,10.8,1.25,,10.9,1.3,,,,,
4,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,Perseverative responses,,,,20.9,14.22,14,491,149,,9.3,3.42,14,,,,1,-3.3,,0,,10.8,1.25,,10.9,1.3,,,,,
5,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,Nonperseverative Errors,,,,14,11.74,14,491,149,,9.5,5.91,14,,,,1,-0.75,,0,,10.8,1.25,,10.9,1.3,,,,,
6,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,Percentage of conceptual level responses,,,,64.4,16.81,14,491,149,,76.3,7.11,14,,,,-1,-1.63,,0,,10.8,1.25,,10.9,1.3,,,,,
7,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,Trials 1st category,,,,16.7,9.72,14,491,149,,11.4,2.1,14,,,,1,-2.46,,0,,10.8,1.25,,10.9,1.3,,,,,
8,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,Failure t o maintain set,,,,1.5,1.87,14,491,149,,0.6,1.04,14,,,,1,-0.83,,0,,10.8,1.25,,10.9,1.3,,,,,
9,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,Learning to learn,,,,3.5,20.12,14,491,149,,3,13.57,14,,,,1,-0.03,,0,,10.8,1.25,,10.9,1.3,,,,,
10,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,Trials,,,,108.1,20.47,14,491,149,,93.7,19.37,14,,,,-1,0.72,,0,,10.8,1.25,,10.9,1.3,,,,,
11,Mixed-age,EF-Flexibility,EF-Flexibility-other,ES_large,Luciana et al 2001,2001,WCST,,,Stage reached,,Set shifting task (analogous of WCST),,8.1,2,18,NA,,,8,2.5,16,,,,-1,0.04,0.1,0,,17.88,2.74,,16.32,2.92,,,,,
12,Mixed-age,EF-Flexibility,EF-Flexibility-other,ES_large,Luciana et al 2001,2001,WCST,,,ID Errors,intra-dimention,Set shifting task (analogous of WCST),,4.4,7.9,18,NA,,,0.5,0.8,16,,,,1,-4.76,,0,,17.88,2.74,,16.32,2.92,,,,,
13,Mixed-age,EF-Flexibility,EF-Flexibility-other,ES_large,Luciana et al 2001,2001,WCST,,,ID trials,intra-dimention,Set shifting task (analogous of WCST),,10.5,7.6,18,NA,,,7.3,2.1,16,,,,1,-1.49,0.86,0,,17.88,2.74,,16.32,2.92,,,,,
14,Mixed-age,EF-Flexibility,EF-Flexibility-other,ES_large,Luciana et al 2001,2001,WCST,,,ED Errors,external dimention,Set shifting task (analogous of WCST),,5.5,7.9,18,NA,,,7.2,9.6,16,,,,1,0.17,0.1,0,,17.88,2.74,,16.32,2.92,,,,,
15,Mixed-age,EF-Flexibility,EF-Flexibility-other,ES_large,Luciana et al 2001,2001,WCST,,,ED trials ,external dimention,Set shifting task (analogous of WCST),,13.3,10.6,18,NA,,,11.7,6.5,16,,,,1,-0.24,0.21,0,,17.88,2.74,,16.32,2.92,,,,,
16,Mixed-age,EF-Flexibility,EF-Flexibility-other,ES_large,Luciana et al 2001,2001,WCST,,,Reversal Errors,,Set shifting task (analogous of WCST),,5.8,2.8,18,NA,,,8.2,7.9,16,,,,1,0.3,0.07,0,,17.88,2.74,,16.32,2.92,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
18,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Aitkenhead et al 2021,2021,Digit symbol coding,,,Symbol-digit matching test,,,z score,-0.6,1.29,152,908,,,0,1,77,,,,1,-0.61,1.29,1,,,,-,,,1,,,,
19,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Palermo et al 2017/2018,2017,Digit symbol coding,,,Digit symbol coding - % Error,,,,37.3,11.3,37,720,,,27.1,10.2,30,,-0.95,,1,-0.99,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
20,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Romani et al 2020,2020,Digit symbol coding,,,Digit symbol coding - % Error,,,,41.6,12,19,1042,,,39.4,9.1,19,,-0.21,,1,-0.24,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
21,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Luna at al 2023,2023,Digit/symbol coding,,,Processing speed,Spanish version,,,50.3,12.58,20,586,420,,59.8,4.61,20,NA,0.4,,-1,-2.02,,0,,NA,,,,,,,,,
22,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Muri et al 2022,2022,Digit/symbol coding,,,Subtest of WAIS-IV,Scale scores (total correct),higher=better,,10,3,30,741,IQR=358,,12,3,54,54,0.48,,-1,-0.66,,1,,NA,,,,,,,,,
23,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Christ et al 2023,2023,Dimensional Change Card Sort,,,T-score,"DCCS was scored using a new two-vector scoring method combining both accuracy and, for participants who maintained a high level of accuracy (> 80% correct), reaction time (RT) into one score.",NIH Toolbox Cognitive Battery,,51,10.5,40,589,444,,53,11.3,32,32,,,-1,-0.18,-0.182155703,1,,NA,,,,,,,,,
24,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Channon et al 2005,2005,Object Alternation ,accuracy,accuracy, on diet vs controls -  %  correct,,,,66.5,15.75,25,759,,,67.6,16.69,25,,0.07,,-1,-0.07,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
25,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Channon et al 2007 off diet,2007,Object Alternation-accuracy,,,Object alternation learning  off diet vs controls - % correct ,,,,60.2,17.75,25,1286,,,66,16.4,45,,0.34,,-1,-0.35,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
26,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Channon et al 2005,2005,Object Alternation ,speed,speed, on diet vs controls -  speed per item (sec),,,,0.9,0.3,25,759,,,0.8,0.42,25,,-0.3,,1,-0.26,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
