order,age_group,func_EF_flex_one,func,ES_group,adult_ES_group,children_ES_group,study,year,task,speed_acc,speed_acc_matched,condition,measure,more_info,blank_1,PKU_mean,PKU_sd,PKU_N,current_phe_mean,current_phe_sd,blank_2,control_mean,control_sd,control_N,blank_3,cohens_d,blank_4,reverse,input_glass_delta,input_glass_delta_sd,include,blank_5,pku_age_mean,pku_age_sd,blank_6,control_age_mean,control_age_sd,diet_start_age1,diet_start_age2,diet_ends,diet_start_age3
24,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Channon et al 2005,2005,Object Alternation,accuracy,accuracy,on diet vs controls -  %  correct,NA,NA,NA,66.48,15.75,25,758.79,NA,NA,67.6,16.69,25,NA,6.90E-02,NA,-1,-6.61E-02,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
190,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Palermo et al 2017/2020; De Felice et al 2018,2017,Continuous Naming-5th-1st pos,accuracy,accuracy,Naming Semantic Interference Task - Difference position 5-1 - % Errors,NA,NA,NA,1.3,2,37,720,NA,NA,1.1,1.6,30,NA,-0.110431526,NA,1,-0.123552124,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
172,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Channon et al 2005,2005,Flanker task-INTERFERENCE,accuracy,accuracy,"on diet, Incompatible condition",NA,NA,NA,97.65,3.41,25,758.79,NA,NA,97.1,2.86,25,NA,-0.174767495,NA,1,-0.189287153,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Channon et al 2007 off diet,2007,Flanker task-INTERFERENCE,accuracy,accuracy,Incompatible trials - Number correct,NA,NA,NA,97.05,2.28,25,1285.68,NA,NA,97.22,2.82,45,NA,NA,NA,-1,-5.96E-02,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Sundermann et al 2020,2020,Go-No-Go,accuracy,accuracy,Errors for no-go trials,NA,NA,NA,18.1,13.4,16,926.2,NA,NA,10.1,6.5,17,NA,-0.759651542,NA,1,-1.200750469,NA,1,NA,NA,NA,NA,NA,NA,4,within 3 months,--,within 3 months
183,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Moyle et al 2006,2007,Go-No-Go,accuracy,accuracy,false alarms,NA,NA,NA,33.3,16.2962963,9,1000,775.35,NA,19.2,10.37037037,9,NA,-1.032317816,NA,1,-1.294897959,NA,1,NA,NA,NA,NA,NA,NA,1,NA,cont treat,Soon after birth
178,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Palermo et al 2017/2020; De Felice et al 2018,2018,Hayling Sentence Completion B-accuracy,accuracy,accuracy,Hayling Sentence Completion Test - Part 2  - N Errors,NA,NA,NA,2.4,1.8,22,751.2,NA,NA,1.2,2.6,25,25,NA,NA,1,-0.45380318,0.205937326,1,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat
196,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Sundermann et al 2011-Gr1,2011,Stroop DIFFERENCE,accuracy,NA,Placebo 1st session - difference neutral-incongruent Errors,"Subjects were instructed to decide via push button whether the color of the top row letters were writtn in the same color of  the color name written in the bottom row.  In the neutral condtion the top row consisted of a series of XXXX 
and the bottom row of a word spelling a color name in white.  In the congruent condition; the bottom word was written in a consistent colour; in the incongruent condition in an incosistent colour",NA,NA,2,1,9,1140,310,SD from Palermo controls (PKU and controls have the same value),2,1,15,NA,0,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,till  adolescence,Soon after birth
240,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,,,Channon et al 2005,2005,Flanker task-baseline-accuracy,accuracy,accuracy,"on diet, Compatible condition",NA,NA,NA,99.35,1.03,25,758.79,NA,NA,99,1.91,25,NA,-0.22809654,NA,1,-0.180367863,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
241,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,,,Channon et al 2007 off diet,2007,Flanker task-baseline-accuracy,accuracy,accuracy,Compatible trials - Number correct,NA,NA,NA,98,1.57,25,1285.68,NA,NA,99.28,1.59,45,NA,0.810110357,NA,-1,-0.796119659,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
232,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,,,Sundermann et al 2011-Gr1,2011,STROOP baseline,accuracy,NA,Placebo 2nd session - neutral errors,"Subjects were instructed to decide via push button whether the color of the top row letters were writtn in the same color of  the color name written in the bottom row.  In the neutral condtion the top row consisted of a series of XXXX 
and the bottom row of a word spelling a color name in white.  In the congruent condition; the bottom word was written in a consistent colour; in the incongruent condition in an incosistent colour",NA,NA,0,NA,9,1140,310,NA,0,NA,15,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,till  adolescence,Soon after birth
247,Adults,EF-Inhibitory control-baseline; Language accuracy,EF-Inhibitory control-baseline; Language accuracy,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2019,Hayling Sentence Completion A-accuracy,accuracy,accuracy,Hayling Sentence Completion Test - Part 2  - N Errors,NA,NA,NA,1.4,0.6,22,751,NA,NA,1.3,0.5,25,25,NA,-0.18,1,-0.196648045,0.04,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,Adults,EF-Inhibitory control-baseline; Language accuracy,EF-Inhibitory control-baseline; Language accuracy,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Stroop-baseline-accuracy,accuracy,accuracy,Congruent condition Errors,Naming the colour of words spelling the same colour,NA,NA,0,0.18,37,720,NA,NA,0,0.18,30,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
159,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,ES_large,ES_medium,Schmidt et al 1994,1994,Dot pattern Task,accuracy,accuracy,Exercise T1 - N Errors,NA,NA,NA,51.9,8.7,19,1417,NA,NA,39.9,6.6,20,NA,-1.55405738,NA,1,-1.781076067,NA,1,NA,NA,NA,NA,NA,NA,--,Early treated,-,Early treated
327,Adults,Higher Language Skills,Higher Language Skills,,,,Palermo et al 2017/2020; De Felice et al 2018,2018,Appreciation of Humour,accuracy,accuracy,Appreciation of Humour Test -  N Errors,NA,NA,NA,2,1.3,22,751.2,NA,NA,2.2,1.6,25,NA,0.137198868,NA,1,0.122905028,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
331,Adults,Higher Language Skills,Higher Language Skills,,,,Palermo et al 2017/2020; De Felice et al 2018,2018,Inferred meaning-N err,accuracy,accuracy,Comprehension of Inferred meaning Test -  N Errors,NA,NA,NA,1.3,1.2,22,751.2,NA,NA,1.2,1.2,25,NA,-8.33E-02,NA,1,-8.19E-02,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
333,Adults,Higher Language Skills,Higher Language Skills,,,,Palermo et al 2017/2020; De Felice et al 2018,2018,Metaphor Picture-N err,accuracy,accuracy,Metaphor Picture Test - N Errors,NA,NA,NA,1.1,1.7,22,751.2,NA,NA,2.3,3.1,25,NA,0.48,NA,1,0.380609119,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
346,Adults,Language accuracy,Language accuracy,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2018,Block Cyclic Naming,accuracy,accuracy,Block Cyclic Naming -,overall errors,NA,NA,12.8,9.5,15,751.2,NA,NA,10.7,7.1,24,NA,-0.250408453,NA,1,-0.289738431,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
352,Adults,Language accuracy,Language accuracy,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Colour Naming,accuracy,accuracy,Colour Naming - % Errors,NA,NA,NA,0.1,0.2,37,720,NA,NA,0.1,0.2,30,NA,0,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
351,Adults,Language accuracy,Language accuracy,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Continuous Naming,accuracy,accuracy,Continulus Picture Naming - Overall % Errors,NA,NA,NA,8.5,11,30,720,NA,NA,7.1,5.1,30,NA,-0.163293762,NA,1,-0.270944742,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
353,Adults,Language accuracy,Language accuracy,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Non-word reading-accuracy,accuracy,accuracy,Non-word reading - % Errors,NA,NA,NA,7.9,10.8,37,720,NA,NA,5.8,5.7,30,NA,-0.2431934,NA,1,-0.364153627,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
355,Adults,Language accuracy,Language accuracy,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Word reading-Accuracy,accuracy,accuracy,Word Reading - % Errors,NA,NA,NA,0.7,1,37,720,NA,NA,0.6,0.8,30,NA,-0.110431526,NA,1,-0.123552124,NA,1,-0.316771925,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
376,Adults,Phonological Tasks,Phonological Tasks,,,,Palermo et al 2017/2020; De Felice et al 2018,2017,Spoonerisms-% err,accuracy,NA,Spoonerisms  - % Errors,NA,NA,NA,10.9,14.7,37,720,NA,NA,6.8,6.6,30,NA,-0.359836067,NA,1,-0.614016614,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
542,Adults,Social Cognition,Social Cognition,,,,Palermo et al 2017/2020; De Felice et al 2018,2020,3 Face Test-Accuracy-N correct,accuracy,accuracy,3 Face Test - Accuracy - N correct,NA,NA,NA,23.1,2.9,20,670,NA,NA,22.6,4.8,25,NA,-0.126088267,NA,-1,0.102339181,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
544,Adults,Social Cognition,Social Cognition,,,,Palermo et al 2017/2020; De Felice et al 2018,2020,Affect Selection-N correct,accuracy,accuracy,Affect Selection - N correct,NA,NA,NA,18.5,2,20,670,NA,NA,18.2,2,25,NA,-0.15,NA,-1,0.147368421,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
548,Adults,Social Cognition,Social Cognition,,,,Jahja et al 2016/2017,2016,ANT identification of facial emotions-% err,accuracy,accuracy,ANT identification of facial emotions - % Errors,NA,NA,NA,5.7,3.1,56,657,NA,NA,4.6,2.5,53,NA,-0.390621453,NA,1,-0.436908665,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,-,Soon after birth
556,Adults,Social Cognition,Social Cognition,,,,Palermo et al 2017/2020; De Felice et al 2018,2020,Identity Test Accuracy-N correct,accuracy,accuracy,Identity Test Accuracy - N correct,NA,NA,NA,21.5,0.7,20,670,NA,NA,21.4,1,25,NA,-0.115856889,NA,-1,9.82E-02,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
312,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,ES_medium,ES_small,Abgottspon et al 2022,2022,N-back task,accuracy,accuracy,3 back - correct,NA,NA,NA,81.4,6.3,20,702.3,NA,NA,87.4,7.9,40,NA,0.839756506,NA,-1,-0.749630117,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
315,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,ES_medium,ES_small,Channon et al 2007 off diet,2007,N-back task,accuracy,accuracy,"Combined 0 back, 1 back, 2 back task -  % correct - off diet",NA,NA,NA,92.43,4.99,25,1285.68,NA,NA,93.88,4.86,45,NA,0.294390605,NA,-1,-0.295051099,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
403,Adults,Visual STM/WM,Visual STM/WM,ES_large,ES_large,ES_medium,Jahja et al 2016/2017,2017,Feature integration-accuracy,accuracy,accuracy,Feature integration - N Errors,NA,NA,NA,4.5,2.6,57,655,NA,NA,3.9,2.6,57,NA,-0.230769231,NA,1,-0.229220444,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
443,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Choice detection,accuracy,accuracy,Choice Reaction time -  % Errors,NA,NA,NA,0.5,0.8,37,720,NA,NA,0.4,0.8,30,NA,-0.125,NA,1,-0.123552124,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
444,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Conjoined search,accuracy,accuracy,Conjanction Search - % Errors,NA,NA,NA,2.4,2.7,37,720,NA,NA,3.1,4.4,30,NA,0.19176283,NA,1,0.157248157,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
445,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,ES_small,ES_small,Romani et al 2020,2020,Conjunction search-accuracy,accuracy,accuracy,Conjanction Search - % Errors,NA,NA,NA,3.2,4.7,19,1042,NA,NA,2.8,4.7,19,NA,-8.51E-02,NA,1,-8.33E-02,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,-,Soon after birth
446,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Detection w/distractors-accuracy,accuracy,accuracy,Detection with distractors - % Errors,NA,NA,NA,0.8,1.1,37,720,NA,NA,0.6,0.6,30,NA,-0.225733059,NA,1,-0.329472329,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
447,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,ES_small,ES_small,Romani et al 2020,2020,Detection w/distractors-accuracy,accuracy,accuracy,Detection with distractors - % Errors,NA,NA,NA,0.8,0.6,19,1042,NA,NA,0.5,1.1,19,NA,-0.338599589,NA,1,-0.267005722,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,-,Soon after birth
448,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Feature search-accuracy,accuracy,accuracy,Feature search - % Errors,NA,NA,NA,1.6,2.6,37,720,NA,NA,2,2.3,30,NA,0.162960169,NA,1,0.171898607,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
449,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,ES_small,ES_small,Romani et al 2020,2020,Feature search-accuracy,accuracy,accuracy,Feature search - % Errors,NA,NA,NA,1.6,4.7,19,1042,NA,NA,0.6,1.2,19,NA,-0.29154395,NA,1,-0.815850816,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,-,Soon after birth
450,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,ES_small,ES_small,Jahja et al 2016/2017,2017,Memory search-high load-N err,accuracy,accuracy,Memory search 2 dimension task - high memory load - N Errors,NA,NA,NA,10.3,6.6,57,655,NA,NA,9.2,8,57,NA,-0.149996901,NA,1,-0.136577181,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,-,Soon after birth
451,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,ES_small,ES_small,Jahja et al 2016/2017,2017,Memory search-low load-N err,accuracy,accuracy,Memory search 2 dimension task - Low memory load  - N Errors,NA,NA,NA,1.7,2.4,57,655,NA,NA,1.7,2.2,57,NA,0,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,-,Soon after birth
417,Adults,Visuo-spatial skills,Visuo-spatial skills,ES_small,ES_small,ES_large,Channon et al 2005 on diet,2005,Perceptual judgement Task,accuracy,accuracy,Shape matching - % correct,Given a target object match it with one of two objects presented below,NA,NA,99.4,1.66,25,758.79,NA,NA,99.4,1.66,25,NA,0,NA,-1,0,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
418,Adults,Visuo-spatial skills,Visuo-spatial skills,ES_small,ES_small,ES_large,Channon et al 2007 off diet,2007,Perceptual judgement Task,accuracy,accuracy,Shape matching - % correct,A single object displayed and ppts were required to match it to one of two objects,NA,NA,98.2,2.84,25,1285.68,NA,NA,98.6,2.02,45,NA,0.162314886,NA,-1,-0.195827701,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,off diet,Within 1 month
26,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Channon et al 2005,2005,Object Alternation,speed,speed,on diet vs controls -  speed per item (sec),NA,NA,NA,0.88,0.3,25,758.79,NA,NA,0.77,0.42,25,NA,-0.301398143,NA,1,-0.257791075,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
27,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Channon et al 2007 off diet,2007,Object Alternation-Speed,speed,NA,Object alternation learning; off diet vs controls - Speed per item,NA,NA,NA,0.92,0.35,25,1285.68,NA,NA,0.76,0.4,45,NA,-0.425721667,NA,1,-0.395571956,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
