order,age_group,func_EF_flex_one,func,ES_group,adult_ES_group,children_ES_group,study,year,task,speed_acc,speed_acc_matched,condition,measure,more_info,PKU_mean,PKU_sd,PKU_N,current_phe_mean,current_phe_sd,control_mean,control_sd,control_N,cohens_d,reverse,input_glass_delta,input_glass_delta_sd,include,pku_age_mean,pku_age_sd,control_age_mean,control_age_sd,diet_start_age1,diet_start_age2,diet_ends,diet_start_age3,CohensD,HedgesG,SMD,GlassDelta,InputDataSMD,ScaledSESqr,Vdf,SmallSampCor,g,Vg,FunctionMean,FunctionSD,Outlier,OutlierLowCut,OutlierHighCut
24,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Channon et al 2005,2005,Object Alternation,accuracy,accuracy,on diet vs controls -  %  correct,NA,NA,66.48,15.75,25,758.79,NA,67.6,16.69,25,0.069021584,-1,-0.06605203,NA,1,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month,-0.069021584,-0.067937476,-0.067106052,-0.067106052,-0.06605203,0.075621191,24,0.968421053,-0.064986913,0.075709176,-0.704966472,0.850819706,0,-2.832015736,1.422082792
190,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Palermo et al 2017/2020; De Felice et al 2018,2017,Continuous Naming-5th-1st pos,accuracy,accuracy,Naming Semantic Interference Task - Difference position 5-1 - % Errors,NA,NA,1.3,2,37,720,NA,1.1,1.6,30,-0.110431526,1,-0.123552124,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.109148934,-0.10788466,-0.125,-0.125,-0.123552124,0.075563063,29,0.973913043,-0.12173913,0.075818587,-0.514355554,0.502573004,0,-1.770788066,0.742076957
172,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Channon et al 2005,2005,Flanker task-INTERFERENCE,accuracy,accuracy,"on diet, Incompatible condition",NA,NA,97.65,3.41,25,758.79,NA,97.1,2.86,25,-0.174767495,1,-0.189287153,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.174767495,-0.172022456,-0.192307692,-0.192307692,-0.189287153,0.096863905,24,0.968421053,-0.186234818,0.097586476,-0.514355554,0.502573004,0,-1.770788066,0.742076957
174,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Channon et al 2007 off diet,2007,Flanker task-INTERFERENCE,accuracy,accuracy,Incompatible trials - Number correct,NA,NA,97.05,2.28,25,1285.68,NA,97.22,2.82,45,NA,-1,-0.059616341,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.064344105,-0.063631809,-0.060283688,-0.060283688,-0.059616341,0.0483698,44,0.982857143,-0.059250253,0.048409693,-0.514355554,0.502573004,0,-1.770788066,0.742076957
204,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Sundermann et al 2020,2020,Go-No-Go,accuracy,accuracy,Errors for no-go trials,NA,NA,18.1,13.4,16,926.2,NA,10.1,6.5,17,-0.759651542,1,-1.200750469,NA,1,NA,NA,NA,NA,4,within 3 months,--,within 3 months,-0.767351856,-0.748635958,-1.230769231,-1.230769231,-1.200750469,0.324444831,16,0.952380952,-1.172161172,0.367381138,-0.514355554,0.502573004,0,-1.770788066,0.742076957
183,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Moyle et al 2006,2007,Go-No-Go,accuracy,accuracy,false alarms,NA,NA,33.3,16.2962963,9,1000,775.35,19.2,10.37037037,9,-1.032317816,1,-1.294897959,NA,1,NA,NA,NA,NA,1,NA,cont treat,Soon after birth,-1.032317816,-0.983159825,-1.359642857,-1.359642857,-1.294897959,0.385487528,8,0.903225806,-1.228064516,0.479746432,-0.514355554,0.502573004,0,-1.770788066,0.742076957
178,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Palermo et al 2017/2020; De Felice et al 2018,2018,Hayling Sentence Completion B-accuracy,accuracy,accuracy,Hayling Sentence Completion Test - Part 2  - N Errors,NA,NA,2.4,1.8,22,751.2,NA,1.2,2.6,25,NA,1,-0.45380318,0.205937326,1,NA,NA,NA,NA,NA,1,Since birth,cont treat,-0.530468247,-0.521577717,-0.461538462,-0.461538462,-0.45380318,0.061785906,24,0.968421053,-0.446963563,0.065947915,-0.514355554,0.502573004,0,-1.770788066,0.742076957
196,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Sundermann et al 2011-Gr1,2011,Stroop DIFFERENCE,accuracy,NA,Placebo 1st session - difference neutral-incongruent Errors,"Subjects were instructed to decide via push button whether the color of the top row letters were writtn in the same color of  the color name written in the bottom row.  In the neutral condtion the top row consisted of a series of XXXX 
and the bottom row of a word spelling a color name in white.  In the congruent condition; the bottom word was written in a consistent colour; in the incongruent condition in an incosistent colour",NA,2,1,9,1140,310,2,1,15,0,1,0,NA,1,NA,NA,NA,NA,1,Since birth,till  adolescence,Soon after birth,0,0,0,0,0,0.177777778,14,0.945454545,0,0.177777778,-0.514355554,0.502573004,0,-1.770788066,0.742076957
240,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,NA,NA,NA,Channon et al 2005,2005,Flanker task-baseline-accuracy,accuracy,accuracy,"on diet, Compatible condition",NA,NA,99.35,1.03,25,758.79,NA,99,1.91,25,-0.22809654,1,-0.180367863,NA,1,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month,-0.22809654,-0.224513872,-0.183246073,-0.183246073,-0.180367863,0.051632357,24,0.968421053,-0.177459355,0.052288436,-0.460131507,0.377327777,0,-1.403450949,0.483187935
241,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,NA,NA,NA,Channon et al 2007 off diet,2007,Flanker task-baseline-accuracy,accuracy,accuracy,Compatible trials - Number correct,NA,NA,98,1.57,25,1285.68,NA,99.28,1.59,45,0.810110357,-1,-0.796119659,NA,1,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month,-0.808606591,-0.799655226,-0.805031447,-0.805031447,-0.796119659,0.061222262,44,0.982857143,-0.791230907,0.068336425,-0.460131507,0.377327777,0,-1.403450949,0.483187935
247,Adults,EF-Inhibitory control-baseline; Language accuracy,EF-Inhibitory control-baseline; Language accuracy,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2019,Hayling Sentence Completion A-accuracy,accuracy,accuracy,Hayling Sentence Completion Test - Part 2  - N Errors,NA,NA,1.4,0.6,22,751,NA,1.3,0.5,25,NA,1,-0.196648045,0.04,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.182169813,-0.179116687,-0.2,-0.2,-0.196648045,0.105454545,24,0.968421053,-0.193684211,0.106236078,-0.096842105,0.136955419,0,-0.439230652,0.245546441
244,Adults,EF-Inhibitory control-baseline; Language accuracy,EF-Inhibitory control-baseline; Language accuracy,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Stroop-baseline-accuracy,accuracy,accuracy,Congruent condition Errors,Naming the colour of words spelling the same colour,NA,0,0.18,37,720,NA,0,0.18,30,NA,1,0,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,0,0,0,0,0,0.06036036,29,0.973913043,0,0.06036036,-0.096842105,0.136955419,0,-0.439230652,0.245546441
