,Func_ES_groupping  = ESs grouped according to size of impariment in adults as follows,,,,,,from 12D,,,,,,,PKU GROUP,,,,,,CONTROL GROUP,,,,ES,,,,,,,PKU group ,,,CONTROLS,,,,,,
,,"Group Large= EF (reasoning, flexibility, sustained attetion and inhibitory control) +visuo-spatial attention speed + visuo-motor control; ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Group Medium: memory and learning; ,,,,,,,,,,,,Performance,,,,,,Performance,,,,,,,,,,,Age,,,Age,,,,,,
,,Group Small: basic language functions (reading and naming speed and accuracy; visuo-spatial attention accuracy; visuo-spatial skills and simple RT visuo-spatial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,Age -group,Func_EF_flex_one,Function,ES_group,Study,Year ,Task,speed/acc (+ all speed tasks even if no matched with accuracy),speed/acc matched,Condition/measure,More information,,, x̅ ,SD,N  obs,Current Phe Mean,SD,, x̅ ,SD,N  obs,,Cohen' s D - not revr,,Coeff, Glass delta,SD glass,Include,, x̅ ,SD,, x̅ ,SD,Age diet starts,Age diet starts,Diet termination,Age diet starts,
312,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,Abgottspon et al 2022,2022,N-back task,accuracy,accuracy,3 back - correct,,,,81.4000,6.3000,20.0000,702.3000,,,87.4000,7.9000,40.0000,,0.84,,-1,-0.75,,1,,,,,,,1,,,,
313,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,Abgottspon et al 2022,2022,N-back task,speed,speed,3 back - speed ,,,,816.0000,306.5000,20.0000,702.3000,,,771.6000,282.4000,40.0000,,-0.15,,1,-0.16,,1,,,,,,,1,,,,
207,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Anderson et al 2002/2007,2002,Contingency Naming test,accuracy,accuracy,Errors,,,,7.7700,5.7000,36.0000,,,,3.5200,3.9600,69.0000,,,,1,-1.07,,1,,11.18,3.4,,10.29,3.1,,,,,
209,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Anderson et al 2002/2007,2002,Contingency Naming test,speed,speed,Total time,,,,160.4000,44.4000,36.0000,,,,133.4100,30.6600,69.0000,,,,1,-0.87,,1,,11.18,3.4,,10.29,3.1,,,,,
118,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Anderson et al 2002/2007,2002,Tower Puzzle,accuracy,accuracy,Number correct,,,,9.9400,1.6800,36.0000,,,,10.4100,1.2000,69.0000,,,,-1,-0.39,,1,,11.18,3.4,,10.29,3.1,,,,,
119,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Anderson et al 2002/2007,2002,Tower Puzzle,speed,speed,Time,,,,328.5100,119.8800,36.0000,,,,289.4000,61.2000,69.0000,,,,1,-0.63,,1,,11.18,3.4,,10.29,3.1,,,,,
154,Mixed-age,EF-Inhibitory control,EF-Inhibitory control,,Brunner and Berry 1987,1987,Continuous perfomance task,accuracy,accuracy,False alarms,,,,9.1000,11.0800,22.0000,1529.3200,,,7.6700,7.1100,12.0000,NA,,,1,-0.20,,1,,16.4,5.6,,13.4,3.9,BY  6 WEEKS,,Coninuous - for all but 4 ppts who terminated diet by age 7,,
155,Mixed-age,EF-Sustained attention,EF-Sustained attention,,Brunner and Berry 1987,1987,Continuous perfomance task,speed,speed,RT,,,,415.1800,107.7100,22.0000,1529.3200,,,354.3100,55.7200,12.0000,NA,,,1,-1.07,,1,,16.4,5.6,,13.4,3.9,BY  6 WEEKS,,Coninuous - for all but 4 ppts who terminated diet by age 8,,
240,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,ES_medium,Channon et al 2005,2005,Flanker task-baseline-accuracy,accuracy,accuracy,"on diet, Compatible condition",,,,99.3500,1.0300,25.0000,758.7900,,,99.0000,1.9100,25.0000,,-0.23,,1,-0.18,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
237,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,ES_medium,Channon et al 2005,2005,Flanker task-baseline-speed,speed,speed,Compatible trials - Speed per item (sec.),,,,0.4500,0.0600,25.0000,758.7900,,,0.4100,0.0400,25.0000,,-0.78,,1,-0.98,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
172,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_medium,Channon et al 2005,2005,Flanker task-INTERFERENCE,accuracy,accuracy,"on diet, Incompatible condition",,,,97.6500,3.4100,25.0000,758.7900,,,97.1000,2.8600,25.0000,,-0.17,,1,-0.19,,1,,,,,,,,,,,
173,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_medium,Channon et al 2005,2005,Flanker task-INTERFERENCE,speed,speed,Incompatible trials - Speed per item (sec.),,,,0.4700,0.0500,25.0000,758.7900,,,0.4400,0.0500,25.0000,,,,1,-0.59,,1,,,,,,,,,,,
24,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,Channon et al 2005,2005,Object Alternation ,accuracy,accuracy, on diet vs controls -  %  correct,,,,66.4800,15.7500,25.0000,758.7900,,,67.6000,16.6900,25.0000,,0.07,,-1,-0.07,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
26,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,Channon et al 2005,2005,Object Alternation ,speed,speed, on diet vs controls -  speed per item (sec),,,,0.8800,0.3000,25.0000,758.7900,,,0.7700,0.4200,25.0000,,-0.30,,1,-0.26,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
417,Adults,Visuo-spatial skills,Visuo-spatial skills,ES_small,Channon et al 2005 on diet,2005,Perceptual judgement Task,accuracy,accuracy,Shape matching - % correct,Given a target object match it with one of two objects presented below,,,99.4000,1.6600,25.0000,758.7900,,,99.4000,1.6600,25.0000,,0.00,,-1,0.00,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
419,Adults,Visuo-spatial skills,Visuo-spatial skills,ES_small,Channon et al 2005 on diet,2005,Perceptual judgement Task,speed,speed,Shape Matching - Speed per item,Given a target object match it with one of two objects presented below,,,0.9900,0.3500,25.0000,758.7900,,,0.8300,0.2600,25.0000,,-0.52,,1,-0.61,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
241,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,ES_medium,Channon et al 2007 off diet,2007,Flanker task-baseline-accuracy,accuracy,accuracy,Compatible trials - Number correct,,,,98.0000,1.5700,25.0000,1285.6800,,,99.2800,1.5900,45.0000,,0.81,,-1,-0.80,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
238,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,ES_medium,Channon et al 2007 off diet,2007,Flanker task-baseline-speed,speed,speed,Compatible trials - Speed per item (sec.),,,,0.4900,0.0700,25.0000,1286.6800,,,0.4300,0.0600,45.0000,,-0.92,,1,-0.99,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
174,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_medium,Channon et al 2007 off diet,2007,Flanker task-INTERFERENCE,accuracy,accuracy,Incompatible trials - Number correct,,,,97.0500,2.2800,25.0000,1285.6800,,,97.2200,2.8200,45.0000,,,,-1,-0.06,,1,,,,,,,,,,,
175,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_medium,Channon et al 2007 off diet,2007,Flanker task-INTERFERENCE,speed,speed,Incompatible trials - Speed per item (sec.),,,,0.5200,0.0800,25.0000,1286.6800,,,0.4600,0.0600,45.0000,,,,1,-0.99,,1,,,,,,,,,,,
315,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,Channon et al 2007 off diet,2007,N-back task,accuracy,accuracy,"Combined 0 back, 1 back, 2 back task -  % correct - off diet",,,,92.4300,4.9900,25.0000,1285.6800,,,93.8800,4.8600,45.0000,,0.29,,-1,-0.30,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
316,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,Channon et al 2007 off diet,2007,N-back task,speed,speed,"Combined 0 back, 1 back, 2 back task - Speed per item -off diet",,,,0.8400,0.6800,25.0000,1285.6800,,,0.6300,0.2600,45.0000,,-0.41,,1,-0.80,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
