"Order","Age..group","Func_EF_flex_one","Function","ES_group","Study","Year","Task","speed.acc....all.speed.tasks.even.if.no.matched.with.accuracy.","speed.acc.matched","Condition.measure","More.information","X","X.1","x.","SD","N..obs","Current.Phe.Mean","SD.1","X.2","x..1","SD.2","N..obs.1","X.3","Cohen..s.D...not.revr","X.4","Coeff","Glass.delta","SD.glass","Include","X.5","x..2","SD.3","X.6","x..3","SD.4","Age.diet.starts","Age.diet.starts.1","Diet.termination","Age.diet.starts.2","X.7"
259,"Adults","Divided attention","Divided attention","","Muri et al 2022",2023,"Divided attention (TAP subtests)","","","Test of Attentional Performance (TAP)","T-scores","Total omission (higher = better)","In this test, a visual and an auditory task must be processed in parallel. The visual task consisted of crosses
326 COUILLET ET AL.
Downloaded By: [Azouvi, Philippe] At: 14:45 18 May 2010
that appeared in a random configuration in a 4  4 matrix. Patients had to
detect whether the crosses form the corner of a square. The auditory task
included a regular sequence of high and low beeps. Patients had to detect
an irregularity in the sequence.",48,"13.0000",30,"741.0000",265.1852,"IQR=358",53,"13.0000",54,NA,"0.38",NA,-1,"-0.38","",1,"",NA,"","",NA,"","","","","",""
261,"Children","Divided attention","Divided attention","","Anderson et al 2002/2007",2008,"Sky Search-Dual Task","","","speed + accuracy",""," children have to look for a particular space ship among similar distractors on a large piece of paper; in the dual task condition they have to count the tone they hear at the same time.  Performance is measured with the time it taskes to complete the task.","",125.12,"38.4886",33,"",NA,"",91.62,"38.4843",34,"","",NA,1,"-0.86","",1,"","11.18","3.4","",10.3,"3.1","","","","",""
18,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Aitkenhead et al 2021",2021,"Digit symbol coding","","","Symbol-digit matching test","","","z score",-0.61,"1.2900",152,"908.0000",NA,"",0,"1.0000",77,"","",NA,-1,"-0.61","1.29",1,"","","","-",NA,"","1","","","",""
34,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Aitkenhead et al 2021",2021,"WCST","","","z-score","","DKefs Card Sorting","",-0.26,"1.0000",152,"908.0000",NA,"",0,"1.0000",76,"","--",NA,-1,"-0.26","1.00",1,"","","","",NA,"","","","-","",""
24,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Channon et al 2005",2005,"Object Alternation ","accuracy","accuracy"," on diet vs controls -  %  correct","","","",66.48,"15.7500",25,"758.7900",NA,"",67.6,"16.6900",25,"","0.07",NA,-1,"-0.07","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
26,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Channon et al 2005",2005,"Object Alternation ","speed","speed"," on diet vs controls -  speed per item (sec)","","","",0.88,"0.3000",25,"758.7900",NA,"",0.77,"0.4200",25,"","-0.30",NA,1,"-0.26","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
25,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Channon et al 2007 off diet",2007,"Object Alternation-accuracy","","","Object alternation learning  off diet vs controls - % correct ","","","",60.24,"17.7500",25,"1285.6800",NA,"",66.04,"16.4000",45,"","0.34",NA,-1,"-0.35","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
27,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Channon et al 2007 off diet",2007,"Object Alternation-Speed","","","Object alternation learning; off diet vs controls - Speed per item ","","","",0.92,"0.3500",25,"1285.6800",NA,"",0.76,"0.4000",45,"","-0.43",NA,1,"-0.40","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
23,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Christ et al 2023",2023,"Dimensional Change Card Sort","","","T-score","DCCS was scored using a new two-vector scoring method combining both accuracy and, for participants who maintained a high level of accuracy (> 80% correct), reaction time (RT) into one score.","NIH Toolbox Cognitive Battery","",51,"10.5000",40,"589.0000",444,"",53,"11.3000",32,"32","",NA,-1,"-0.18","-0.182155703",1,"",NA,"","",NA,"","","","","",""
28,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Christ et al 2023",2023,"Oral Symbol Digit","speed","","processing speed - T-score","","NIH Toolbox Cognitive Battery","This is an additional measure of processing speed in which participants orally report digits that correspond to a series of symbols via a provided symbol-digit key.",52,"8.4000",40,"589.0000",444,"",54,"5.2000",32,NA,"",NA,-1,"-0.38","",1,"",NA,"","",NA,"","","","","",""
