12D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,Age -group,Func_EF_flex_one,Function,ES_group,Study,Year ,Task,speed/acc (+ all speed tasks even if no matched with accuracy),speed/acc matched, x̅ ,SD,N  obs,Current Phe Mean,SD, x̅ ,SD,N  obs,,Order,Age -group,Func_EF_flex_one,Function,ES_group,Study,Year ,Task,speed/acc (+ all speed tasks even if no matched with accuracy),speed/acc matched, x̅ ,SD,N  obs,Current Phe Mean,SD, x̅ ,SD,N  obs
1,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Muri et al 2022,2022,Digit/symbol coding,,,-5.2000,9.700,30,741,IQR=358,4.00000,9.500,54,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.
2,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,76.4200,10.630,14,491,149,76.53000,14.870,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.
3,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,31.7100,19.290,14,491,149,17.15000,6.640,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.
4,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,20.9200,14.220,14,491,149,9.30000,3.420,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.
5,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,14.0000,11.740,14,491,149,9.46000,5.910,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.
6,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,64.3500,16.810,14,491,149,76.30000,7.110,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.
7,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,16.7100,9.720,14,491,149,11.38000,2.100,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.
8,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,1.5000,1.870,14,491,149,0.61000,1.040,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.
9,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,3.4600,20.120,14,491,149,2.99000,13.570,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.
10,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,108.1400,20.470,14,491,149,93.69000,19.370,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.
